timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584990354.2116556,-76,55,53,23,12,15,-1,-67
1584990354.2116556,127,-88,-20,-5,-4,8,20,93
1584990354.2353103,53,127,48,-3,-5,0,15,127
1584990354.2353103,9,-32,-24,-8,-3,-7,-33,-90
1584990354.2365456,-128,30,1,2,4,8,29,-61
1584990354.2365456,-68,-41,-27,-5,-2,4,-4,74
1584990354.2489896,-37,-128,-55,-15,-12,-20,-17,-103
1584990354.2489896,-39,-53,-9,-1,4,-3,-18,-41
1584990354.2499022,32,127,78,27,14,16,55,111
1584990354.2499022,127,6,9,8,4,9,1,-31
1584990354.2790406,15,-92,-54,-16,-10,1,24,-50
1584990354.2790406,127,108,37,16,9,-1,4,85
1584990354.280433,-128,56,27,13,11,12,3,-17
1584990354.280433,34,-55,-3,-9,-6,-9,20,-31
1584990354.293944,-13,-20,10,6,0,-1,13,61
1584990354.293944,-1,-13,-3,0,1,11,-12,-116
1584990354.2951696,127,44,28,8,4,5,21,29
1584990354.2951696,-128,113,21,3,1,7,2,-15
1584990354.308262,-63,-48,9,12,17,14,57,127
1584990354.308262,-128,-128,-53,-28,-15,-26,-52,-128
1584990354.3094466,8,70,21,5,1,4,14,86
1584990354.3094466,127,10,2,3,3,0,2,126
1584990354.3390718,-64,99,37,9,2,0,-9,-32
1584990354.3390718,31,9,5,3,-1,-6,6,-5
1584990354.3404706,-48,5,10,9,6,10,10,-24
1584990354.3404706,83,-36,-12,-6,-5,-9,-6,-69
1584990354.3450992,-28,15,2,0,-1,0,8,36
1584990354.3450992,51,-7,-10,-4,-4,0,-1,0
1584990354.3533046,-53,-12,0,-2,-1,-1,8,-30
1584990354.3533046,-32,-2,5,4,5,4,5,34
1584990354.3701131,19,-9,-14,-12,-7,-3,13,-7
1584990354.3701131,-75,-4,-2,-1,1,0,2,-53
1584990354.3715353,-51,1,2,6,8,11,14,61
1584990354.3715353,70,-11,-11,-4,-6,-7,-9,5
1584990354.3908453,127,41,-9,-17,-20,-26,-41,28
1584990354.3908453,-31,14,5,1,2,5,8,-2
1584990354.3922172,127,10,5,4,3,5,14,13
1584990354.3922172,126,20,23,10,4,5,10,78
1584990354.413939,-128,-69,-25,-12,-8,-9,-11,101
1584990354.413939,57,-12,9,-1,-2,-8,-39,-67
1584990354.4152937,16,18,6,1,2,-9,1,29
1584990354.4152937,-76,1,2,2,-1,1,4,8
1584990354.4366221,-30,0,-3,-4,0,16,0,-22
1584990354.4366221,-59,-9,-3,-4,-5,-4,5,-6
1584990354.4379869,-19,2,1,2,1,3,1,-10
1584990354.4379869,-128,-44,-18,-7,-5,-6,-12,-26
1584990354.4675674,4,3,-5,-6,-2,-7,-13,-27
1584990354.4675674,38,-8,2,3,3,0,-6,9
1584990354.4685023,-23,13,13,4,3,1,9,13
1584990354.4685023,-18,7,0,-1,-2,3,2,-6
1584990354.4812267,61,7,-4,-1,0,-1,-5,0
1584990354.4812267,23,-10,-8,8,5,6,8,15
1584990354.4820929,-128,-44,-28,-15,-8,-10,-27,-104
1584990354.4820929,10,22,29,3,-2,1,9,18
1584990354.4893646,53,12,-6,1,0,5,7,36
1584990354.4893646,-13,4,-1,0,2,2,-4,-19
1584990354.503204,49,-5,-8,-3,2,1,6,18
1584990354.503204,-14,-2,7,4,4,-1,1,14
1584990354.5121357,-128,-39,-13,-1,-2,-6,-13,-103
1584990354.5121357,17,6,-1,-2,-3,-3,-6,2
1584990354.5133426,28,1,6,3,0,-3,0,10
1584990354.5133426,-23,-11,-1,0,-2,1,0,-7
1584990354.5339336,-1,-2,-1,-2,-1,0,3,4
1584990354.5339336,-7,4,-3,-4,-3,-1,1,1
1584990354.5347793,-3,-3,-3,-3,0,2,3,2
1584990354.5347793,9,2,0,-1,1,-2,-13,4
1584990354.5494268,-52,-10,-3,2,2,-4,4,-12
1584990354.5494268,-109,6,1,-1,-4,-1,-3,-9
1584990354.5502765,2,-9,-9,-6,1,-4,-3,-1
1584990354.5502765,39,8,8,1,2,3,4,17
1584990354.5712547,-52,5,3,2,1,1,-3,-6
1584990354.5712547,96,9,4,1,-1,3,6,4
1584990354.5782254,-24,-12,-9,-8,0,-4,-2,2
1584990354.5782254,-20,5,6,4,3,1,2,6
1584990354.6014426,6,0,-1,-3,0,1,-1,-2
1584990354.6014426,-11,1,-3,-2,-4,2,4,1
1584990354.6025507,0,-4,-1,-1,3,-2,4,12
1584990354.6025507,20,3,-1,-4,-3,-4,-13,-15
1584990354.608548,-6,-4,1,1,0,2,-4,1
1584990354.608548,-5,3,4,-7,0,-2,0,4
1584990354.6100063,-1,-1,0,0,1,3,3,3
1584990354.6100063,-3,-3,-5,-3,-2,-2,1,0
1584990354.6307662,-1,-1,-4,-1,-1,-3,0,-3
1584990354.6307662,0,-2,-3,-1,2,1,-2,-1
1584990354.6316664,11,-5,-1,-1,-5,0,-11,3
1584990354.6316664,-26,-4,0,-1,0,-2,3,-11
1584990354.653919,0,1,1,-3,0,3,14,4
1584990354.653919,2,3,0,1,-3,-3,-18,-2
1584990354.6547544,5,-2,5,5,3,-5,-7,-3
1584990354.6547544,-1,-2,-2,-2,-1,-4,-6,-5
1584990354.6696286,1,-6,-7,-6,-1,2,-3,-4
1584990354.6696286,-2,2,1,4,-2,2,0,1
1584990354.6710248,-7,4,2,1,-1,0,4,0
1584990354.6710248,0,-3,0,-1,3,1,3,1
1584990354.6908174,5,3,8,4,2,1,-2,3
1584990354.6908174,0,6,-2,-7,2,3,-1,0
1584990354.692243,0,1,-4,-4,-2,-1,4,0
1584990354.692243,-2,-5,1,1,2,-1,0,-1
1584990354.7139447,-1,-1,-2,-4,0,2,0,1
1584990354.7139447,0,3,0,-2,-2,0,1,0
1584990354.7147868,-1,1,6,3,-1,0,0,0
1584990354.7147868,-2,-5,-3,3,-5,-2,-4,-3
1584990354.728293,-1,-1,-4,-3,-3,-2,2,0
1584990354.728293,1,1,-1,2,-2,-4,1,0
1584990354.729519,-1,-2,0,0,2,1,-3,-1
1584990354.729519,-7,-3,0,-3,-1,0,2,0
1584990354.7507389,-1,1,-4,-2,3,-2,3,0
1584990354.7507389,-2,1,0,1,2,3,-1,-1
1584990354.7516322,1,-2,1,0,-2,1,0,-4
1584990354.7516322,-1,-1,-3,1,-3,0,0,-1
1584990354.7739353,0,0,3,-1,-1,-2,-1,0
1584990354.7739353,1,0,1,3,1,1,1,-3
1584990354.7754424,1,-4,1,0,1,-1,-1,0
1584990354.7754424,0,-1,-2,-1,-3,4,0,3
1584990354.7882397,1,4,0,-1,2,1,-1,0
1584990354.7882397,-2,0,1,0,1,-2,-1,-2
1584990354.789376,2,-1,7,0,0,0,0,0
1584990354.789376,-2,-3,-5,-3,0,1,-1,-2
1584990354.810717,-3,3,0,1,-2,0,-3,-1
1584990354.810717,3,0,2,-1,1,2,0,-3
1584990354.811949,1,-1,2,-3,3,0,0,-2
1584990354.811949,1,1,3,-2,-1,-1,2,-1
1584990354.8339472,-2,1,1,-1,2,-1,0,0
1584990354.8339472,0,-2,1,1,0,-4,0,-1
1584990354.8348315,0,-3,-1,-3,-2,-4,0,0
