timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584991650.02251,-3,-2,-2,-2,-4,-1,-2,-2
1584991650.036896,-4,2,1,0,2,-1,-1,-2
1584991650.036896,13,2,1,-2,-1,-2,-3,1
1584991650.052608,2,1,-1,-1,-1,-1,0,4
1584991650.052608,-11,-2,-2,-1,-4,-1,-4,-2
1584991650.0599754,-3,-2,-2,-2,-2,1,-2,0
1584991650.0599754,-4,-5,-2,0,1,0,1,1
1584991650.061232,1,1,0,-1,2,3,2,2
1584991650.061232,1,6,4,1,1,0,-2,-1
1584991650.0743165,-5,-3,-1,-4,1,-2,2,-6
1584991650.0743165,6,-5,-2,0,-1,1,0,2
1584991650.0825386,5,-3,-4,-1,-1,-3,3,3
1584991650.0825386,-2,6,5,0,-1,-1,-5,-2
1584991650.0972552,-11,-1,0,1,0,-3,-2,-5
1584991650.0972552,3,-6,-1,-1,-1,0,3,-1
1584991650.105003,3,-14,-3,-4,0,0,2,0
1584991650.105003,-4,1,-4,-2,-3,-1,-3,-4
1584991650.1199841,9,-3,-1,-1,-3,-2,-3,2
1584991650.1199841,-7,-1,6,0,-1,0,0,0
1584991650.121208,-12,3,4,-2,-2,-1,-1,1
1584991650.121208,1,-7,-10,-2,-4,0,0,0
1584991650.134275,1,11,2,0,-1,1,3,0
1584991650.134275,2,0,3,3,-4,0,-2,4
1584991650.1424975,-5,0,3,-1,-5,1,-1,0
1584991650.1424975,-4,-1,2,-1,-4,-1,0,-3
1584991650.156893,15,-4,1,2,-5,2,1,3
1584991650.156893,-1,9,0,-1,-1,-1,-1,6
1584991650.1650589,-2,0,2,0,-1,-1,2,1
1584991650.1650589,-1,-2,-3,2,-1,0,-3,-4
1584991650.1792507,0,-3,-4,1,5,-2,0,-1
1584991650.1792507,9,3,-4,2,1,2,1,3
1584991650.1874332,-3,-1,0,-2,0,0,-2,1
1584991650.1874332,0,0,4,-1,-4,-1,-1,1
1584991650.1942828,3,-3,2,0,-1,2,2,0
1584991650.1942828,0,5,-4,0,1,-3,3,-4
1584991650.2024536,19,2,-5,-3,-4,0,-3,2
1584991650.2024536,-21,-1,2,-3,0,1,0,-3
1584991650.2168665,7,3,0,1,4,-1,3,1
1584991650.2168665,17,0,-2,-1,0,2,3,3
1584991650.2249558,-4,5,1,-1,-3,-1,2,-1
1584991650.2249558,-9,-9,-6,0,0,1,-3,-4
1584991650.239323,5,-5,-2,-4,-1,-1,-2,-1
1584991650.239323,4,9,3,-1,-1,-3,-1,-2
1584991650.2474847,-25,-1,-2,-1,-4,1,1,-7
1584991650.2474847,1,-8,-3,-2,0,-3,-1,-1
1584991650.2542434,4,-6,0,-2,-2,-1,1,-3
1584991650.2542434,-1,-3,1,3,4,2,-1,-6
1584991650.2707195,0,-1,5,1,1,-1,-1,0
1584991650.2707195,-7,1,-2,1,-3,2,1,-4
1584991650.2856867,1,3,-2,1,1,0,-3,0
1584991650.2856867,1,-1,-4,1,-2,-1,-2,1
1584991650.2874177,-1,-2,-3,-4,-3,-4,0,-1
